mes,arquivo_local,arquivo_fonte,url,sha256,bytes,data_download
2019-07,dados/bruto/pdf/2019-07.pdf,2019_07_2.pdf,https://www.fenabrave.org.br/portal/files/2019_07_2.pdf,6205c3e30c3ec8cf24b599d67072ca44469de084ed0fa76ebe4457f52a8fee28,7329935,2026-09-12T00:57:55+00:00
2019-08,dados/bruto/pdf/2019-08.pdf,2019_08_2.pdf,https://www.fenabrave.org.br/portal/files/2019_08_2.pdf,7431e9556d96a472b4e4a1e1a54f2ff4065ea18914f085509e06236f60f219f3,7331607,2026-09-12T00:58:06+00:00
2019-09,dados/bruto/pdf/2019-09.pdf,2019_09_2.pdf,https://www.fenabrave.org.br/portal/files/2019_09_2.pdf,de0af68dd659b39b4d5a39f8213823e745d7e25ffe8355657f65f8ee43ab0406,7335122,2026-09-12T00:58:19+00:00
2019-10,dados/bruto/pdf/2019-10.pdf,2019_10_2.pdf,https://www.fenabrave.org.br/portal/files/2019_10_2.pdf,f05dedeeeba84bb0f563040c82ecf7549bbbb784740082b66e3852ab28b76991,7333660,2026-09-12T00:58:33+00:00
2019-11,dados/bruto/pdf/2019-11.pdf,2019_11_01.pdf,https://www.fenabrave.org.br/portal/files/2019_11_01.pdf,7f2d30e5c387a7d30711f87fe7e4bf2e9f2116467953b7aef1a027b5affdd825,7337406,2026-09-12T00:58:45+00:00
2019-12,dados/bruto/pdf/2019-12.pdf,2019_12_2.pdf,https://www.fenabrave.org.br/portal/files/2019_12_2.pdf,6876607a4ce3c130d48a23908057663b59f366100eae431827117996892d697d,631077,2026-09-12T00:58:48+00:00
2020-01,dados/bruto/pdf/2020-01.pdf,2020_01_2.pdf,https://www.fenabrave.org.br/portal/files/2020_01_2.pdf,2eaa8491d7f9191a30f2014c9dafa97825f53df7f427fbd362de63406f2dd1cf,578414,2026-09-12T00:58:51+00:00
2020-02,dados/bruto/pdf/2020-02.pdf,2020_02_2.pdf,https://www.fenabrave.org.br/portal/files/2020_02_2.pdf,942ae129a7bc2f66a8944f2bf8ceebe91396048cc4eca590adb0d2ea835f0f0a,613484,2026-09-12T00:58:54+00:00
2020-03,dados/bruto/pdf/2020-03.pdf,2020_03_2.pdf,https://www.fenabrave.org.br/portal/files/2020_03_2.pdf,6f30924e996da4eb688e6fcd5c917b1c730aa5bfc8e924aa98e92b5198e6a1bd,7284223,2026-09-12T00:59:05+00:00
2020-04,dados/bruto/pdf/2020-04.pdf,2020_04_2.pdf,https://www.fenabrave.org.br/portal/files/2020_04_2.pdf,79a2ce9d1c198816bed0be63c0f330b3337ec5677d085115675273b018fbacba,1065806,2026-09-12T00:59:09+00:00
2020-05,dados/bruto/pdf/2020-05.pdf,2020_05_2.pdf,https://www.fenabrave.org.br/portal/files/2020_05_2.pdf,d0ee07b80f32eda9f49978c7e34bee062120f788ee483ae4ba1209f5971d03a5,1552116,2026-09-12T00:59:14+00:00
2020-06,dados/bruto/pdf/2020-06.pdf,2020_06_2.pdf,https://www.fenabrave.org.br/portal/files/2020_06_2.pdf,d5f7df81ad93d7d661f0eea875e692078b69a4d0c33cc04d881c9e1bf948b38e,1190331,2026-09-12T00:59:19+00:00
2020-07,dados/bruto/pdf/2020-07.pdf,2020_07_2.pdf,https://www.fenabrave.org.br/portal/files/2020_07_2.pdf,72c97c4e5f7614de62e5bc54743012094aa29ef2168043d5748eafcb0498017c,619277,2026-09-12T00:59:22+00:00
2020-08,dados/bruto/pdf/2020-08.pdf,2020_08_2.pdf,https://www.fenabrave.org.br/portal/files/2020_08_2.pdf,4f58397217070f9cbefff08cba0a80d73dd9a96a75d3f4e144f6394eee494b28,673617,2026-09-12T00:59:25+00:00
2020-09,dados/bruto/pdf/2020-09.pdf,2020_09_2.pdf,https://www.fenabrave.org.br/portal/files/2020_09_2.pdf,1afcb8f4954fe16525a8e6e4f722c73bee74c3d2d5059b49f0acfb45fd7c35ea,1110394,2026-09-12T00:59:29+00:00
2020-10,dados/bruto/pdf/2020-10.pdf,2020_10_2.pdf,https://www.fenabrave.org.br/portal/files/2020_10_2.pdf,7c883ce5b62bc7fd215a6f9be80ac62449fa2f021b287d633e09c2d7e379d219,742645,2026-09-12T00:59:32+00:00
