mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2009-06,comerciais_leves,FIAT/STRADA,8084,8083,1,2009-06.pdf
2009-06,comerciais_leves,FIAT/DOBLO,472,469,3,2009-06.pdf
2009-07,comerciais_leves,FIAT/STRADA,8276,8275,1,2009-07.pdf
2009-07,comerciais_leves,VW/KOMBI,2373,2372,1,2009-07.pdf
2009-07,comerciais_leves,FIAT/DOBLO,165,163,2,2009-07.pdf
2009-08,comerciais_leves,FIAT/STRADA,7415,7413,2,2009-08.pdf
2009-08,comerciais_leves,VW/SAVEIRO,3110,3109,1,2009-08.pdf
2009-08,comerciais_leves,FIAT/DOBLO,141,137,4,2009-08.pdf
2009-09,comerciais_leves,FIAT/STRADA,7592,7589,3,2009-09.pdf
2009-09,comerciais_leves,FIAT/DOBLO,160,159,1,2009-09.pdf
2009-09,comerciais_leves,AGRALE/AGRALE MARRUA,3,2,1,2009-09.pdf
2009-10,comerciais_leves,FIAT/STRADA,8144,8142,2,2009-10.pdf
2009-10,comerciais_leves,VW/SAVEIRO,1992,1991,1,2009-10.pdf
2009-11,automoveis,FORD/FOCUS,1434,1433,1,2009-11.pdf
2009-11,comerciais_leves,FIAT/STRADA,7928,7926,2,2009-11.pdf
2009-12,automoveis,VW/FOX/CROSS FOX,8503,8850,-347,2009-12.pdf
2009-12,comerciais_leves,FIAT/DOBLO,168,167,1,2009-12.pdf
2009-12,comerciais_leves,PEUGEOT/PARTNER,46,45,1,2009-12.pdf
2010-01,comerciais_leves,FIAT/STRADA,6505,6503,2,2010-01.pdf
2010-02,automoveis,VW/FOX/CROSS FOX,8218,8229,-11,2010-02.pdf
2010-02,comerciais_leves,FIAT/STRADA,7562,7561,1,2010-02.pdf
2010-02,comerciais_leves,FIAT/DOBLO,115,114,1,2010-02.pdf
2010-02,comerciais_leves,DODGE/RAM,29,28,1,2010-02.pdf
2010-03,comerciais_leves,FIAT/STRADA,10179,10178,1,2010-03.pdf
2010-03,comerciais_leves,HAFEI/MINI,121,119,2,2010-03.pdf
2010-04,automoveis,FIAT/DOBLO,851,846,5,2010-04.pdf
2010-04,comerciais_leves,VW/KOMBI,2409,2408,1,2010-04.pdf
2010-04,comerciais_leves,FIAT/DOBLO,279,278,1,2010-04.pdf
2010-04,comerciais_leves,HAFEI/MINI,124,122,2,2010-04.pdf
2010-05,automoveis,FIAT/DOBLO,886,872,14,2010-05.pdf
2010-05,comerciais_leves,FIAT/STRADA,9104,9101,3,2010-05.pdf
2010-05,comerciais_leves,FIAT/DOBLO,302,301,1,2010-05.pdf
2010-06,comerciais_leves,VW/SAVEIRO,5221,5220,1,2010-06.pdf
2010-07,comerciais_leves,FIAT/DOBLO,264,263,1,2010-07.pdf
2010-08,automoveis,FIAT/DOBLO,993,992,1,2010-08.pdf
2010-08,comerciais_leves,FIAT/STRADA,10943,10941,2,2010-08.pdf
2010-08,comerciais_leves,FIAT/DOBLO,433,432,1,2010-08.pdf
2010-08,comerciais_leves,AGRALE/AGRALE MARRUA,3,2,1,2010-08.pdf
2010-09,automoveis,FIAT/DOBLO,1132,1131,1,2010-09.pdf
2010-09,comerciais_leves,FIAT/STRADA,10658,10640,18,2010-09.pdf
2010-09,comerciais_leves,VW/KOMBI,1682,1681,1,2010-09.pdf
2010-09,comerciais_leves,FORD/F150,5,4,1,2010-09.pdf
2010-10,comerciais_leves,FIAT/STRADA,10782,10777,5,2010-10.pdf
2010-11,comerciais_leves,FIAT/DOBLO,412,411,1,2010-11.pdf
2010-12,automoveis,FIAT/DOBLO,1512,1509,3,2010-12.pdf
2010-12,comerciais_leves,FIAT/STRADA,11982,11979,3,2010-12.pdf
2010-12,comerciais_leves,HAFEI/MINI,100,99,1,2010-12.pdf
2011-01,automoveis,FIAT/DOBLO,891,887,4,2011-01.pdf
2011-04,comerciais_leves,VW/SAVEIRO,5096,5095,1,2011-04.pdf
2011-04,comerciais_leves,FIAT/DOBLO,363,362,1,2011-04.pdf
2011-04,comerciais_leves,HAFEI/MINI,96,95,1,2011-04.pdf
2011-05,comerciais_leves,FIAT/STRADA,10231,10225,6,2011-05.pdf
2011-06,automoveis,VW/FOX/CROSS FOX,4345,5084,-739,2011-06.pdf
2011-06,automoveis,FIAT/DOBLO,1170,1169,1,2011-06.pdf
2011-06,comerciais_leves,FIAT/STRADA,10542,10540,2,2011-06.pdf
2011-07,automoveis,FIAT/DOBLO,1222,1221,1,2011-07.pdf
2011-07,comerciais_leves,FIAT/STRADA,11298,11291,7,2011-07.pdf
2011-07,comerciais_leves,FIAT/DOBLO,367,365,2,2011-07.pdf
2011-08,automoveis,HONDA/CIVIC,2524,2523,1,2011-08.pdf
2011-08,comerciais_leves,FIAT/STRADA,11235,11233,2,2011-08.pdf
2011-09,comerciais_leves,FIAT/STRADA,9645,9643,2,2011-09.pdf
2011-09,comerciais_leves,FIAT/DOBLO,415,414,1,2011-09.pdf
2011-09,comerciais_leves,HAFEI/MINI,100,99,1,2011-09.pdf
2011-10,comerciais_leves,FIAT/STRADA,8667,8662,5,2011-10.pdf
2011-10,comerciais_leves,FIAT/DOBLO,545,543,2,2011-10.pdf
2011-11,comerciais_leves,FIAT/STRADA,9867,9865,2,2011-11.pdf
2011-11,comerciais_leves,VW/SAVEIRO,5854,5853,1,2011-11.pdf
2011-11,comerciais_leves,FIAT/DOBLO,366,365,1,2011-11.pdf
2011-12,comerciais_leves,FIAT/STRADA,9221,9218,3,2011-12.pdf
2011-12,comerciais_leves,VW/SAVEIRO,6280,6279,1,2011-12.pdf
2011-12,comerciais_leves,FIAT/DOBLO,489,487,2,2011-12.pdf
2012-01,comerciais_leves,FIAT/STRADA,6826,6822,4,2012-01.pdf
2012-01,comerciais_leves,HAFEI/MINI,79,78,1,2012-01.pdf
2012-02,automoveis,FIAT/DOBLO,798,797,1,2012-02.pdf
2012-02,comerciais_leves,FIAT/STRADA,8622,8617,5,2012-02.pdf
2012-02,comerciais_leves,VW/SAVEIRO,4611,4610,1,2012-02.pdf
2012-02,comerciais_leves,HAFEI/MINI,81,80,1,2012-02.pdf
2012-03,automoveis,FIAT/500,2379,2378,1,2012-03.pdf
2012-03,comerciais_leves,FIAT/STRADA,10488,10485,3,2012-03.pdf
2012-03,comerciais_leves,HAFEI/MINI,103,102,1,2012-03.pdf
2012-04,comerciais_leves,FIAT/STRADA,8590,8585,5,2012-04.pdf
2012-04,comerciais_leves,VW/SAVEIRO,5136,5134,2,2012-04.pdf
2012-05,comerciais_leves,FIAT/STRADA,9868,9861,7,2012-05.pdf
2012-06,comerciais_leves,FIAT/STRADA,8378,8374,4,2012-06.pdf
2012-07,comerciais_leves,FIAT/STRADA,10399,10394,5,2012-07.pdf
2012-07,comerciais_leves,VW/SAVEIRO,6445,6443,2,2012-07.pdf
2012-08,comerciais_leves,FIAT/STRADA,12981,12976,5,2012-08.pdf
2012-08,comerciais_leves,VW/SAVEIRO,6593,6592,1,2012-08.pdf
