mes,segmento,nome_completo_fonte,unidades_acumulado,acumulado_esperado,diferenca
2021-05,automoveis,TOYOTA/HILUX SW4,4869,4871.0,-2.0
2021-08,automoveis,FIAT/MOBI,54949,54951.0,-2.0
2025-07,automoveis,HONDA/HR-V,36086,36088.0,-2.0
2021-06,automoveis,GM/TRACKER,27125,27127.0,-2.0
2021-06,automoveis,FIAT/CRONOS,10249,10251.0,-2.0
2021-05,comerciais_leves,GM/S10,9462,9464.0,-2.0
2021-05,automoveis,VW/T CROSS,25861,25863.0,-2.0
2021-07,automoveis,FIAT/ARGO,52797,52799.0,-2.0
2021-07,automoveis,FIAT/MOBI,47413,47415.0,-2.0
2021-06,automoveis,TOYOTA/COROLLA,19899,19901.0,-2.0
2021-06,automoveis,JEEP/RENEGADE,40607,40609.0,-2.0
2021-06,automoveis,HYUNDAI/HB20,45408,45410.0,-2.0
2021-07,automoveis,HYUNDAI/HB20,53205,53207.0,-2.0
2021-07,automoveis,TOYOTA/COROLLA CROSS,15379,15381.0,-2.0
2017-09,comerciais_leves,GM/S10,22222,22224.0,-2.0
2025-09,automoveis,JEEP/COMPASS,42471,42473.0,-2.0
2017-09,comerciais_leves,VW/SAVEIRO,31194,31196.0,-2.0
2025-09,comerciais_leves,FIAT/STRADA,101298,101300.0,-2.0
2021-09,automoveis,MITSUBISHI/PAJERO,1761,1763.0,-2.0
2020-12,comerciais_leves,FIAT/STRADA,80030,80032.0,-2.0
2020-12,automoveis,HYUNDAI/HB20,86548,86550.0,-2.0
2020-12,automoveis,HONDA/HR-V,32511,32513.0,-2.0
2021-03,automoveis,CITROEN/C4L,217,219.0,-2.0
2021-09,automoveis,RENAULT/CAPTUR,5131,5133.0,-2.0
2017-12,automoveis,JEEP/COMPASS,49187,49189.0,-2.0
2021-03,automoveis,VW/GOL,19013,19015.0,-2.0
2021-04,automoveis,GM/TRACKER,21420,21422.0,-2.0
2021-04,automoveis,HYUNDAI/HB20,30512,30514.0,-2.0
